Country,Commodity,Measure,Unit of measure,Year,Value
Argentina,Wheat,Production,Tonnes,2015,11300
Argentina,Cottonseed,Exports,Tonnes,2015,49.447
Argentina,Wheat,Area harvested,Hectares,2015,4380
Argentina,Wheat,Exports,Tonnes,2015,9198
Argentina,Roots and tubers,Production,Tonnes,2015,579.7569
Argentina,Cottonseed,Production,Tonnes,2015,213.7
Argentina,Cottonseed,Area harvested,Hectares,2015,371.579
Argentina,Roots and tubers,Exports,Tonnes,2015,84.0137
Argentina,Roots and tubers,Area harvested,Hectares,2015,116.151
Argentina,Wheat,Production,Tonnes,2016,18400
Argentina,Cottonseed,Exports,Tonnes,2016,58.174
Argentina,Wheat,Area harvested,Hectares,2016,6360
Argentina,Wheat,Exports,Tonnes,2016,13358
Argentina,Roots and tubers,Production,Tonnes,2016,589.5927
Argentina,Cottonseed,Production,Tonnes,2016,179.561
Argentina,Cottonseed,Area harvested,Hectares,2016,246.872
Argentina,Roots and tubers,Exports,Tonnes,2016,86.5341
Argentina,Roots and tubers,Area harvested,Hectares,2016,117.107
Argentina,Wheat,Production,Tonnes,2017,18500
Argentina,Cottonseed,Exports,Tonnes,2017,36.56
Argentina,Wheat,Area harvested,Hectares,2017,5930
Argentina,Wheat,Exports,Tonnes,2017,12448
Argentina,Roots and tubers,Production,Tonnes,2017,599.5709
Argentina,Cottonseed,Production,Tonnes,2017,225.773
Argentina,Cottonseed,Area harvested,Hectares,2017,328.168
Argentina,Roots and tubers,Exports,Tonnes,2017,89.1302
Argentina,Roots and tubers,Area harvested,Hectares,2017,119.651
Argentina,Wheat,Production,Tonnes,2018,19460
Argentina,Cottonseed,Exports,Tonnes,2018,118.18
Argentina,Wheat,Area harvested,Hectares,2018,6290
Argentina,Wheat,Exports,Tonnes,2018,12353
Argentina,Roots and tubers,Production,Tonnes,2018,609.6944
Argentina,Cottonseed,Production,Tonnes,2018,257.453
Argentina,Cottonseed,Area harvested,Hectares,2018,332.896
Argentina,Roots and tubers,Exports,Tonnes,2018,91.8041
Argentina,Roots and tubers,Area harvested,Hectares,2018,114.631
Argentina,Wheat,Production,Tonnes,2019,19750
Argentina,Cottonseed,Exports,Tonnes,2019,84.52
Argentina,Wheat,Area harvested,Hectares,2019,6900
Argentina,Wheat,Exports,Tonnes,2019,13623.2255
Argentina,Roots and tubers,Production,Tonnes,2019,619.9664
Argentina,Cottonseed,Production,Tonnes,2019,334.836
Argentina,Cottonseed,Area harvested,Hectares,2019,454.703
Argentina,Roots and tubers,Exports,Tonnes,2019,94.5582
Argentina,Roots and tubers,Area harvested,Hectares,2019,114.9631
Argentina,Wheat,Production,Tonnes,2020,17200
Argentina,Cottonseed,Exports,Tonnes,2020,76.068
Argentina,Wheat,Area harvested,Hectares,2020,6700
Argentina,Wheat,Exports,Tonnes,2020,12941.7982
Argentina,Roots and tubers,Production,Tonnes,2020,628.7703
Argentina,Cottonseed,Production,Tonnes,2020,257.1453
Argentina,Cottonseed,Area harvested,Hectares,2020,360
Argentina,Roots and tubers,Exports,Tonnes,2020,97.3949
Argentina,Roots and tubers,Area harvested,Hectares,2020,115.2962
Argentina,Wheat,Production,Tonnes,2021,19784.1527
Argentina,Cottonseed,Exports,Tonnes,2021,74.8465
Argentina,Wheat,Area harvested,Hectares,2021,6726.8
Argentina,Wheat,Exports,Tonnes,2021,13467.1464
Argentina,Roots and tubers,Production,Tonnes,2021,634.8682
Argentina,Cottonseed,Production,Tonnes,2021,259.8708
Argentina,Cottonseed,Area harvested,Hectares,2021,360
Argentina,Roots and tubers,Exports,Tonnes,2021,102.437
Argentina,Roots and tubers,Area harvested,Hectares,2021,115.3759
Argentina,Wheat,Production,Tonnes,2022,19980.5095
Argentina,Cottonseed,Exports,Tonnes,2022,74.823
Argentina,Wheat,Area harvested,Hectares,2022,6727.8622
Argentina,Wheat,Exports,Tonnes,2022,13602.5036
Argentina,Roots and tubers,Production,Tonnes,2022,643.277
Argentina,Cottonseed,Production,Tonnes,2022,262.5609
Argentina,Cottonseed,Area harvested,Hectares,2022,360.0874
Argentina,Roots and tubers,Exports,Tonnes,2022,105.5168
Argentina,Roots and tubers,Area harvested,Hectares,2022,115.7777
Argentina,Wheat,Production,Tonnes,2023,20281.6489
Argentina,Cottonseed,Exports,Tonnes,2023,75.1434
Argentina,Wheat,Area harvested,Hectares,2023,6743.5644
Argentina,Roots and tubers,Production,Tonnes,2023,647.2533
Argentina,Cottonseed,Production,Tonnes,2023,264.6279
Argentina,Cottonseed,Area harvested,Hectares,2023,359.3091
Argentina,Roots and tubers,Exports,Tonnes,2023,105.739
Argentina,Roots and tubers,Area harvested,Hectares,2023,115.5251
Argentina,Wheat,Exports,Tonnes,2023,13743.9259
Argentina,Wheat,Production,Tonnes,2024,20600.48
Argentina,Cottonseed,Exports,Tonnes,2024,75.728
Argentina,Wheat,Area harvested,Hectares,2024,6788.1349
Argentina,Wheat,Exports,Tonnes,2024,14323.8535
Argentina,Roots and tubers,Production,Tonnes,2024,653.3571
Argentina,Cottonseed,Production,Tonnes,2024,268.2301
Argentina,Cottonseed,Area harvested,Hectares,2024,360.5099
Argentina,Roots and tubers,Exports,Tonnes,2024,108.1701
Argentina,Roots and tubers,Area harvested,Hectares,2024,115.5918
Argentina,Wheat,Exports,Tonnes,2025,14600.8369
Argentina,Wheat,Production,Tonnes,2025,20875.3693
Argentina,Cottonseed,Exports,Tonnes,2025,76.7043
Argentina,Wheat,Area harvested,Hectares,2025,6824.7295
Argentina,Roots and tubers,Production,Tonnes,2025,659.0834
Argentina,Cottonseed,Production,Tonnes,2025,272.5365
Argentina,Cottonseed,Area harvested,Hectares,2025,362.6252
Argentina,Roots and tubers,Exports,Tonnes,2025,111.1844
Argentina,Roots and tubers,Area harvested,Hectares,2025,115.5728
Argentina,Wheat,Production,Tonnes,2026,21204.8366
Argentina,Cottonseed,Exports,Tonnes,2026,77.5874
Argentina,Wheat,Area harvested,Hectares,2026,6863.3599
Argentina,Wheat,Exports,Tonnes,2026,14887.8022
Argentina,Roots and tubers,Production,Tonnes,2026,666.6411
Argentina,Cottonseed,Production,Tonnes,2026,276.8814
Argentina,Cottonseed,Area harvested,Hectares,2026,364.7228
Argentina,Roots and tubers,Exports,Tonnes,2026,114.5859
Argentina,Roots and tubers,Area harvested,Hectares,2026,115.8294
Argentina,Wheat,Production,Tonnes,2027,21507.9509
Argentina,Cottonseed,Exports,Tonnes,2027,78.6767
Argentina,Wheat,Area harvested,Hectares,2027,6886.9227
Argentina,Wheat,Exports,Tonnes,2027,15103.1811
Argentina,Roots and tubers,Production,Tonnes,2027,672.345
Argentina,Cottonseed,Production,Tonnes,2027,280.3648
Argentina,Cottonseed,Area harvested,Hectares,2027,365.6342
Argentina,Roots and tubers,Exports,Tonnes,2027,117.2568
Argentina,Roots and tubers,Area harvested,Hectares,2027,115.8026
Argentina,Wheat,Production,Tonnes,2028,21818.6783
Argentina,Cottonseed,Exports,Tonnes,2028,79.8952
Argentina,Wheat,Area harvested,Hectares,2028,6914.8972
Argentina,Wheat,Exports,Tonnes,2028,15356.3465
Argentina,Roots and tubers,Production,Tonnes,2028,679.3343
Argentina,Cottonseed,Production,Tonnes,2028,283.81
Argentina,Cottonseed,Area harvested,Hectares,2028,366.4214
Argentina,Roots and tubers,Exports,Tonnes,2028,120.2155
Argentina,Roots and tubers,Area harvested,Hectares,2028,115.9402
Argentina,Wheat,Production,Tonnes,2029,22121.2579
Argentina,Cottonseed,Exports,Tonnes,2029,80.6081
Argentina,Wheat,Area harvested,Hectares,2029,6938.8846
Argentina,Wheat,Exports,Tonnes,2029,15589.1825
Argentina,Roots and tubers,Production,Tonnes,2029,684.9219
Argentina,Cottonseed,Production,Tonnes,2029,287.3037
Argentina,Cottonseed,Area harvested,Hectares,2029,367.181
Argentina,Roots and tubers,Exports,Tonnes,2029,122.704
Argentina,Roots and tubers,Area harvested,Hectares,2029,115.8644
Argentina,Wheat,Production,Tonnes,2030,22425.6489
Argentina,Cottonseed,Exports,Tonnes,2030,80.9709
Argentina,Wheat,Area harvested,Hectares,2030,6967.3998
Argentina,Wheat,Exports,Tonnes,2030,15839.1482
Argentina,Roots and tubers,Production,Tonnes,2030,692.4509
Argentina,Cottonseed,Production,Tonnes,2030,291.5929
Argentina,Cottonseed,Area harvested,Hectares,2030,368.8765
Argentina,Roots and tubers,Exports,Tonnes,2030,125.9574
Argentina,Roots and tubers,Area harvested,Hectares,2030,116.0716
Australia,Cottonseed,Exports,Tonnes,2015,615.751
Australia,Roots and tubers,Exports,Tonnes,2015,15.9939
Australia,Roots and tubers,Area harvested,Hectares,2015,31.095
Australia,Cottonseed,Production,Tonnes,2015,629
Australia,Wheat,Exports,Tonnes,2015,16115.5238
Australia,Wheat,Area harvested,Hectares,2015,11282.2021
Australia,Cottonseed,Area harvested,Hectares,2015,270
Australia,Roots and tubers,Production,Tonnes,2015,259.9914
Australia,Wheat,Production,Tonnes,2015,22274.5137
Australia,Cottonseed,Exports,Tonnes,2016,812.485
Australia,Roots and tubers,Exports,Tonnes,2016,16.5524
Australia,Roots and tubers,Area harvested,Hectares,2016,29.895
Australia,Cottonseed,Production,Tonnes,2016,891
Australia,Wheat,Exports,Tonnes,2016,22635.739
Australia,Wheat,Area harvested,Hectares,2016,12191.1526
Australia,Cottonseed,Area harvested,Hectares,2016,557.4
Australia,Roots and tubers,Production,Tonnes,2016,257.1209
Australia,Wheat,Production,Tonnes,2016,31818.7435
Australia,Cottonseed,Exports,Tonnes,2017,852.3
Australia,Roots and tubers,Exports,Tonnes,2017,17.1312
Australia,Roots and tubers,Area harvested,Hectares,2017,30.34
Australia,Cottonseed,Production,Tonnes,2017,1058
Australia,Wheat,Exports,Tonnes,2017,13819.6904
Australia,Wheat,Area harvested,Hectares,2017,10919.18
Australia,Cottonseed,Area harvested,Hectares,2017,526
Australia,Roots and tubers,Production,Tonnes,2017,254.2821
Australia,Wheat,Production,Tonnes,2017,20941.133
Australia,Cottonseed,Exports,Tonnes,2018,790.88
Australia,Roots and tubers,Exports,Tonnes,2018,17.7312
Australia,Roots and tubers,Area harvested,Hectares,2018,31.668
Australia,Cottonseed,Production,Tonnes,2018,485
Australia,Wheat,Exports,Tonnes,2018,8981
Australia,Wheat,Area harvested,Hectares,2018,10402.271
Australia,Cottonseed,Area harvested,Hectares,2018,343
Australia,Roots and tubers,Production,Tonnes,2018,251.4746
Australia,Wheat,Production,Tonnes,2018,17597.561
Australia,Cottonseed,Exports,Tonnes,2019,295
Australia,Roots and tubers,Exports,Tonnes,2019,18.3531
Australia,Roots and tubers,Area harvested,Hectares,2019,31.0889
Australia,Cottonseed,Production,Tonnes,2019,134
Australia,Wheat,Exports,Tonnes,2019,9140
Australia,Wheat,Area harvested,Hectares,2019,10210
Australia,Cottonseed,Area harvested,Hectares,2019,59.7
Australia,Roots and tubers,Production,Tonnes,2019,248.6981
Australia,Wheat,Production,Tonnes,2019,15165
Australia,Cottonseed,Exports,Tonnes,2020,221
Australia,Roots and tubers,Exports,Tonnes,2020,18.9977
Australia,Roots and tubers,Area harvested,Hectares,2020,30.5205
Australia,Cottonseed,Production,Tonnes,2020,456
Australia,Wheat,Exports,Tonnes,2020,20500
