STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,COMMODITY,Commodity,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION_ID,Version ID,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2024,,7238.8941,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2023,,7280.355,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2022,,7333.2498,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2021,,7339.7526,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2020,,7376.6357,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2019,,7476.6675,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2018,,7578.0562,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2017,,7567.5869,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2016,,7632.3081,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2015,,7693.4702,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,7021.3225,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,7050.2783,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2028,,7094.0776,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2027,,7120.7584,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2026,,7158.3248,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2024,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2023,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2022,,1,,A,Normal value,3,Thousands,2,Two,,
